sep=,
1219,6
1220,1
1221,2
1222,7
1223,6
1224,2
1225,2
1226,1
1227,1
1228,1
1229,1
1230,4
1231,6
1232,24
1233,23
1234,24
1235,28
1236,23
1237,19
1238,22
1239,20
1240,24
1241,22
1242,20
1243,30
1244,40
1245,54
1246,63
1247,58
1248,37
1249,38
1250,35
1251,35
1252,33
1253,28
1254,34
1255,42
1256,61
1257,65
1258,70
1259,67
1260,75
1261,67
1262,60
1263,62
1264,54
1265,66
1266,64
1267,51
1268,55
1269,51
1270,51
1271,47
1272,58
1273,59
1274,64
1275,64
1276,63
1277,58
1278,49
1279,53
1280,28
1281,23
1282,22
1283,19
1284,15
1285,13
1286,8
1287,11
1288,4
1289,6
1290,14
1291,18
1292,13
1293,17
1294,18
1295,22
1296,21
1297,22
1298,23
1299,20
1300,23
1301,20
1302,17
1303,15
1304,12
1305,9
1306,7
1307,16
1308,13
1309,17
1310,18
1311,11
1312,28
1313,34
1314,40
1315,22
1316,18
1317,24
1318,26
1319,35
1320,29
1321,26
1322,31
1323,30
1324,23
1325,25
1326,27
1327,27
1328,15
1329,17
1330,9
1331,9
1332,3
1333,6
1334,7
1335,4
1336,4
1337,5
1338,10
1339,10
1340,11
1341,7
1342,6
1343,4
1344,15
1345,19
1346,11
1347,17
1348,19
1349,31
1350,41
1351,40
1352,33
1353,27
1354,26
1355,18
1356,16
1357,17
1358,20
1359,19
1360,22
1361,27
1362,16
1363,17
1364,27
1365,25
1366,27
1367,21
1368,16
1369,13
1370,24
1371,19
1372,29
1373,27
1374,29
1375,29
1376,26
1377,25
1378,30
1379,29
1380,35
1381,28
1382,20
1383,20
1384,16
1385,15
1386,15
1387,21
1388,21
1389,23
1390,22
1391,15
1392,20
1393,25
1394,20
1395,16
1396,15
1397,12
1398,11
1399,20
1400,12
1401,6
1402,6
1403,2
1404,3
1405,5
1406,8
1407,12
1408,15
1409,14
1410,13
1411,4
1412,4
1413,2
1414,0
1415,4
1416,8
1417,15
1418,15
1419,27
1420,27
1421,20
1422,23
1423,12
1424,3
1425,7
1426,15
1427,9
1428,10
1429,11
1430,11
1431,9
1432,9
1433,12
1434,5
1435,4
1436,5
1437,10
1438,9
1439,14
1440,29
1441,21
1442,22
1443,22
1444,33
1445,44
1446,44
1447,35
1448,35
1449,38
1450,38
1451,36
1452,31
1453,33
1454,23
1455,31
1456,21
1457,25
1458,30
1459,29
1460,25
1461,26
1462,24
1463,20
1464,28
1465,17
1466,19
1467,25
1468,17
1469,21
1470,34
1471,34
1472,26
1473,30
1474,31
1475,26
1476,29
1477,32
1478,33
1479,30
1480,19
1481,13
1482,27
1483,36
1484,33
1485,32
1486,14
1487,9
1488,8
1489,14
1490,7
1491,3
1492,2
1493,0
1494,0
1495,2
1496,4
1497,5
1498,3
1499,1
1500,2
1501,3
1502,3
1503,4
1504,21
1505,18
1506,17
1507,19
1508,37
1509,32
1510,30
1511,13
1512,11
1513,10
1514,8
1515,6
1516,8
1517,8
1518,20
1519,23
1520,11
1521,7
1522,14
1523,2
1524,8
1525,12
1526,13
1527,12
1528,8
1529,11
1530,11
1531,17
1532,16
1533,10
1534,11
1535,15
1536,9
1537,10
1538,15
1539,14
1540,18
1541,12
1542,20
1543,22
1544,26
1545,26
1546,16
1547,13
1548,12
1549,9
1550,3
1551,6
1552,16
1553,18
1554,20
1555,23
1556,19
1557,21
1558,16
1559,13
1560,9
1561,4
1562,4
1563,2
1564,2
1565,4
1566,2
1567,1
1568,0
1569,1
1570,1
1571,1
1572,3
1573,3
1574,1
1575,3
1576,3
1577,3
1578,3
1579,1
1580,0
1581,0
1582,0
1583,1
1584,3
1585,1
1586,0
1587,2
1588,1
1589,1
1590,2
1591,5
1592,1
1593,1
1594,2
1595,1
1596,1
1597,3
1598,2
1599,2
